comp141938_c0_seq1|m.61254	R_sang_6537
comp134373_c1_seq3|m.26463	R_sang_22835
comp129960_c0_seq2|m.18247	R_sang_5263
comp120622_c0_seq2|m.10385	R_sang_17562
comp127983_c0_seq1|m.16096	R_sang_9588
comp145447_c0_seq3|m.92832	R_sang_19995
comp62151_c0_seq1|m.2021	R_sang_6668
comp143613_c0_seq2|m.74127	R_sang_14160
comp146831_c1_seq2|m.108406	R_sang_13052
comp133613_c0_seq1|m.24669	R_sang_30905
comp128410_c0_seq3|m.16492	R_sang_12866
comp107497_c0_seq2|m.6424	R_sang_6635
comp139542_c0_seq14|m.45499	R_sang_9726
comp139845_c0_seq5|m.47392	R_sang_19916
comp55148_c0_seq1|m.1835	R_sang_31755
comp143552_c0_seq1|m.73572	R_sang_4273
comp144465_c0_seq1|m.82935	R_sang_17242
comp140633_c0_seq1|m.52053	R_sang_30254
comp129093_c0_seq3|m.17221	R_sang_11688
comp144344_c1_seq4|m.81855	R_sang_1595
comp145454_c1_seq1|m.92929	R_sang_28894
comp103244_c0_seq1|m.5730	R_sang_522
comp144149_c0_seq80|m.79865	R_sang_21843
comp138029_c0_seq1|m.38432	R_sang_25468
comp140535_c0_seq1|m.51489	R_sang_965
comp144004_c0_seq4|m.77967	R_sang_22038
comp122524_c0_seq1|m.11533	R_sang_13332
comp135259_c0_seq3|m.28944	R_sang_21447
comp124105_c0_seq3|m.12505	R_sang_10199
comp139119_c0_seq2|m.43450	R_sang_5832
comp244775_c0_seq1|m.113269	R_sang_29841
comp140023_c0_seq6|m.48382	R_sang_30739
comp140259_c0_seq1|m.49852	R_sang_21123
comp140116_c3_seq2|m.48950	R_sang_32320
comp141773_c0_seq6|m.60209	R_sang_9420
comp143049_c0_seq8|m.69183	R_sang_22986
comp133529_c0_seq2|m.24483	R_sang_15893
comp850187_c0_seq1|m.115730	R_sang_16787
comp141630_c0_seq8|m.58681	R_sang_30411
comp143161_c0_seq3|m.70044	R_sang_5265
comp138912_c0_seq3|m.42356	R_sang_7650
comp68790_c0_seq1|m.2215	R_sang_21965
comp142772_c0_seq3|m.66948	R_sang_22969
comp139643_c1_seq15|m.46065	R_sang_16536
comp147132_c0_seq3|m.111915	R_sang_30589
comp133193_c0_seq1|m.23668	R_sang_14972
comp118424_c0_seq1|m.9454	R_sang_23691
comp136747_c1_seq1|m.33761	R_sang_6132
comp145943_c0_seq7|m.98174	R_sang_27847
comp56263_c0_seq1|m.1855	R_sang_30942
comp136836_c0_seq2|m.34147	R_sang_30139
comp140100_c0_seq2|m.48853	R_sang_19379
comp146573_c0_seq5|m.105284	R_sang_17852
comp134308_c0_seq4|m.26278	R_sang_9163
comp131043_c0_seq3|m.19775	R_sang_24788
comp146274_c0_seq4|m.102045	R_sang_30065
comp315702_c0_seq1|m.113842	R_sang_13920
comp140503_c0_seq1|m.51354	R_sang_31283
comp136594_c0_seq1|m.33164	R_sang_33226
comp148691_c0_seq1|m.112782	R_sang_23666
comp28842_c0_seq1|m.525	R_sang_21785
comp138294_c0_seq4|m.39548	R_sang_141
comp134551_c0_seq3|m.27038	R_sang_27161
comp146418_c2_seq9|m.103939	R_sang_17220
comp118654_c0_seq6|m.9560	R_sang_6670
comp146312_c0_seq2|m.102443	R_sang_673
comp140870_c0_seq7|m.53477	R_sang_11521
comp138510_c1_seq4|m.40479	R_sang_16137
comp124606_c0_seq2|m.12866	R_sang_4592
comp141919_c0_seq1|m.61133	R_sang_30178
comp142861_c0_seq4|m.67541	R_sang_4317
comp142441_c0_seq5|m.64231	R_sang_271
comp111969_c0_seq1|m.7395	R_sang_18735
comp2130353_c0_seq1|m.116376	R_sang_20356
